publication,title,assignee_or_applicant,publication_date,source
CN103197188A,Battery current sensor fault diagnosis system and method thereof,Shanghai Yirui Automobile Science & Technology Co Ltd,2013-07-10,https://patents.google.com/patent/CN103197188A/en
CN104316812A,Temperature acquisition fault diagnosis method in battery management system,Yutong Bus Co Ltd,2015-01-28,https://patents.google.com/patent/CN104316812A/en
CN108107373A,A kind of BMS test methods and system,Shanghai Pu Heng Amperex Technology Ltd,2018-06-01,https://patents.google.com/patent/CN108107373A/en
US20030204792A1,Watchdog timer using a high precision event timer,Microsoft Technology Licensing LLC,2003-10-30,https://patents.google.com/patent/US20030204792A1/en
US20110239195A1,Dependence-based software builds,Microsoft Technology Licensing LLC,2011-09-29,https://patents.google.com/patent/US20110239195A1/en
US20120191888A1,Prevention of masquerade by using identification sequences,TTTech Auto AG; Audi AG; Volkswagen AG,2012-07-26,https://patents.google.com/patent/US20120191888A1/en
US20130041606A1,Detecting an open wire between a battery cell and an external circuit,O2Micro Inc,2013-02-14,https://patents.google.com/patent/US20130041606A1/en
US20180131522A1,Controller area network message authentication,Ford Global Technologies LLC,2018-05-10,https://patents.google.com/patent/US20180131522A1/en
US20240142531A1,Battery management system for determining a health of a power source based on driving events,"Volkswagen AG; Volkswagen Group of America, Inc.; Leland Stanford Junior University",2024-05-02,https://patents.google.com/patent/US20240142531A1/en
US6917124B2,Uninterruptible power supply,Vertiv Corp,2005-07-12,https://patents.google.com/patent/US6917124B2/en
US7489108B2,Method of controlling battery current limit values,Sanyo Electric Co Ltd,2009-02-10,https://patents.google.com/patent/US7489108B2/en
US8796993B2,Historical analysis of battery cells for determining state of health,Southwest Electronic Energy Corp,2014-08-05,https://patents.google.com/patent/US8796993B2/en
US8971920B2,Enhanced LTE positioning protocol information transfer procedures for control plane LCS on LTE,Qualcomm Inc,2015-03-03,https://patents.google.com/patent/US8971920B2/en
