case_id,path,marker,first_line,last_line,source_file_sha256,source_file_git_blob_sha1,excerpt_sha256,pass
BMSA01-F01,src/app/application/algorithm/state_estimation/soc/counting/soc_counting.c,soc_tableCurrent.current_mA[s],322,332,1debde05edb1c1452c7d522bbd8a4e6443b49b32261b917da1dd81ee27e990c6,2e993129306792ddd6a8b35347e7a3e38ee5eddd,4244c1d0a0fe688841eb91606ba3232039d6ccdc923f22b1d1f9c6261ed5548c,True
BMSA03-F01,src/app/driver/can/cbs/tx-cyclic/can_cbs_tx_f_pack-limits.c,pTablePackValues->batteryVoltage_mV,274,284,d9b51dde63392c7683798cc462f2170bb3e8abac3b5ed011e314682647ff3fff,58b6255d322e4f3b10290be794638a8c10c668b1,4cd411d22e3e6377d1e8e50ff905c45f13a2e6569f5de84e4596c5658bdabab5,True
BMSA03-F01,src/app/engine/config/database_cfg.h,invalidBatteryVoltage,198,208,a441f449f84c332c0c757afad42d53e37ae470debf2b9bbf1fa8948b14b9c939,f8bb4d909b47acd31fe607a1aa676d488d866f87,2676893404769e62b119641ccf5a0f6ad17a0cbc33b31a2e771b9c4155d1ed66,True
BMSA04-F01,src/app/application/bal/history/bal_strategy_history.c,SE_GetStateOfChargeFromVoltage(,295,305,61ad40f59a5c891fbdde09b28a52b9cbe79e51aa74ad94937778529fdd78016c,dd779430018c24c2464f41b9c7bdc86a0c13d34e,e70be467f850d2c329e6bb6396fadd1a9ff659adeb79cdcb0594f74938d23153,True
BMSA11-F01,src/app/driver/can/cbs/tx-cyclic/can_cbs_tx_f_pack-state-estimation.c,signalData = CANTX_100_PERCENT_FLOAT,349,359,a196b5bf996cf9810b7e867b3a57c0ac67d69d3c66b322ec0d2aee098a252941,3bf49f56f1239f0d13a06153a6dc6e86d28fccf5,0afcf64056c475b1ade7222c95ed7ea33aa2771bf56137a2b982e930f9414cb7,True
BMSA11-F01,src/app/driver/can/cbs/tx-cyclic/can_cbs_tx_f_string-state-estimation.c,float_t signalData = 100.0f,294,304,bf1e85547f9f9a0bb2a52ac2da6bcac280b820efc77ee62e262838ce891fe634,1b9a7507d2757b9bbbb544fbc05b67d9a54a60f6,252ee464556ecf719a1c7d72f400085db80e1ce840fa066f0a7f1b3211d92256,True
BMSA06-F01,src/app/driver/afe/ltc/6813-1/ltc_6813-1.c,nrValidTemperatures[stringNumber] = numberValidMeasurements,683,693,f0b32ada54771f07d952422e9501043ac081c380e685d265cbd5ba6c431a429a,d0e524744edc57f7e6358b39188e0ff38768b2b5,c3fde9e2ce66e1ff533230397e10a6876afb733565a880d2ead76438f36ecbff,True
BMSA06-F01,src/app/application/soa/soa.c,"DIAG_ID_TEMP_OVERTEMPERATURE_DISCHARGE_MSL, DIAG_EVENT_OK",171,181,9d5cb7407eddc67a4a5a203da103f26b115da90ac7a722a3972ea8909a3212f7,5b981b8ae7318a1803465b10c54eca8d42b3d8b0,9ea6f4dda550455a1a3a4a108f0ebef0e33ec1eac7964f64866f4d056a40a782,True
BMSA05-F01,src/app/application/config/battery_system_cfg.h,BS_CHARGE_PERIODIC_OPEN_WIRE_CHECK,314,324,3a38542f4da1986bc1944cd7ce6eabbc38a044255c9273f8273e46f2940670b1,8e8b20e188e8dbcfee74d57f0f54617e097d96a5,e1cacfff6ba379e8e7f9b4fda43f4d4c520ddb5925e9e10a2e91e0a57458db05,True
BMSA05-F01,src/app/application/bms/bms.c,#if BS_NORMAL_PERIODIC_OPEN_WIRE_CHECK == TRUE,1484,1494,c0e2f1d4dd83f059b91c11dd91543ef052d515eb7a247fa26be7b53897523286,1422f63e7810fbf809366cc1dfddba5e161fafc2,786e7c98bd2e4f0f87f853f594d5ca128fe8afa6d22b8edba380a55b3c78a555,True
